Step,body_V,body_I,source_V,source_I,drain_V,drain_I,gate_V
mos2d,0.0,-6.952574927972073e-16,0.0,-3.295691996312884e-08,0.05,3.2956938124359295e-08,0.49999999999999994
mos2d,0.0,-9.37673887893534e-16,0.0,-3.8605291432068585e-08,0.1,3.860530077405386e-08,0.49999999999999994
mos2d,0.0,-9.853272098782424e-16,0.0,-4.008663838070567e-08,0.15000000000000002,4.008664400180253e-08,0.49999999999999994
mos2d,0.0,-1.2513554812891383e-15,0.0,-4.0899254852103627e-08,0.2,4.089925800193385e-08,0.49999999999999994
mos2d,0.0,-1.568124462694552e-15,0.0,-4.157602056630769e-08,0.25,4.157602314346197e-08,0.49999999999999994
mos2d,0.0,-1.3284348332038815e-15,0.0,-4.2203878306597485e-08,0.3,4.2203880493469365e-08,0.49999999999999994
mos2d,0.0,-1.960116449765394e-15,0.0,-4.280085359233919e-08,0.35,4.280085534424622e-08,0.49999999999999994
mos2d,0.0,-1.8645467900320973e-15,0.0,-4.337313639234494e-08,0.39999999999999997,4.337313804606869e-08,0.49999999999999994
mos2d,0.0,-2.1447125598884914e-15,0.0,-4.392425449579245e-08,0.44999999999999996,4.392425764595778e-08,0.49999999999999994
mos2d,0.0,-1.7310709634202997e-15,0.0,-4.445682550250406e-08,0.49999999999999994,4.445682685257861e-08,0.49999999999999994
mos2d,0.0,-1.9657676229986603e-15,0.0,-4.497296101065739e-08,0.5499999999999999,4.497296321764412e-08,0.49999999999999994
mos2d,0.0,-1.96856662107998e-15,0.0,-4.547440564268568e-08,0.6,4.5474407787330705e-08,0.49999999999999994
mos2d,0.0,-1.856434667081372e-15,0.0,-4.596263559565937e-08,0.65,4.5962637985835276e-08,0.49999999999999994
mos2d,0.0,-1.955325662597597e-15,0.0,-4.643893289363903e-08,0.7000000000000001,4.6438935534574456e-08,0.49999999999999994
mos2d,0.0,-2.3621415053023525e-15,0.0,-4.6904415097767035e-08,0.7500000000000001,4.690441723152243e-08,0.49999999999999994
mos2d,0.0,-2.3116944219536372e-15,0.0,-4.736004838684651e-08,0.8000000000000002,4.736005076286834e-08,0.49999999999999994
mos2d,0.0,-2.0952681699611614e-15,0.0,-4.780666616620281e-08,0.8500000000000002,4.780666864210296e-08,0.49999999999999994
mos2d,0.0,-2.43712642006405e-15,0.0,-4.824498670970557e-08,0.9000000000000002,4.8244988949360035e-08,0.49999999999999994
mos2d,0.0,-2.295489967529713e-15,0.0,-4.8675633975646315e-08,0.9500000000000003,4.867563638711358e-08,0.49999999999999994
mos2d,0.0,-2.2967943343146144e-15,0.0,-4.909915414084249e-08,1.0000000000000002,4.9099157848282905e-08,0.49999999999999994
mos2d,0.0,-2.360846615907922e-15,0.0,-4.951603381376131e-08,1.0500000000000003,4.9516035173674033e-08,0.49999999999999994
mos2d,0.0,-2.558007218652249e-15,0.0,-4.992670909976449e-08,1.1000000000000003,4.992671247731636e-08,0.49999999999999994
