Step,body_V,body_I,source_V,source_I,drain_V,drain_I,gate_V
mos2d,0.0,-5.253397909024143e-15,0.0,-5.964314869966175e-09,2.99999999999998,5.964319549965034e-09,-2.9899999999999802
mos2d,0.0,-5.5910609926426134e-15,0.0,-5.985429445629421e-09,2.99999999999998,5.985434036237954e-09,-2.9799999999999804
mos2d,0.0,-5.4640256901735515e-15,0.0,-6.0067657536804676e-09,2.99999999999998,6.0067703538861e-09,-2.9699999999999807
mos2d,0.0,-5.508177169958001e-15,0.0,-6.028329633990356e-09,2.99999999999998,6.028334130914383e-09,-2.959999999999981
mos2d,0.0,-5.64117961759308e-15,0.0,-6.050129334662038e-09,2.99999999999998,6.050134077949369e-09,-2.949999999999981
mos2d,0.0,-5.4811717517929005e-15,0.0,-6.0721716291593985e-09,2.99999999999998,6.072176244146392e-09,-2.9399999999999813
mos2d,0.0,-5.447068356183233e-15,0.0,-6.094463711635565e-09,2.99999999999998,6.094468595257842e-09,-2.9299999999999815
mos2d,0.0,-5.5940492969637805e-15,0.0,-6.117014500409347e-09,2.99999999999998,6.117018140411121e-09,-2.9199999999999817
mos2d,0.0,-5.376183883607814e-15,0.0,-6.139831625795296e-09,2.99999999999998,6.139835825478802e-09,-2.909999999999982
mos2d,0.0,-5.708519906743744e-15,0.0,-6.1629240498308235e-09,2.99999999999998,6.162928273586832e-09,-2.899999999999982
mos2d,0.0,-5.592008511902842e-15,0.0,-6.186300624109751e-09,2.99999999999998,6.1863051950524454e-09,-2.8899999999999824
mos2d,0.0,-5.4192439825080375e-15,0.0,-6.209971021731059e-09,2.99999999999998,6.209975867956298e-09,-2.8799999999999826
mos2d,0.0,-5.515581200744409e-15,0.0,-6.233945438330494e-09,2.99999999999998,6.233949316257015e-09,-2.869999999999983
mos2d,0.0,-5.411317217858476e-15,0.0,-6.258233347196371e-09,2.99999999999998,6.258237671087833e-09,-2.859999999999983
mos2d,0.0,-5.59334408585846e-15,0.0,-6.28284577441757e-09,2.99999999999998,6.282849595418267e-09,-2.849999999999983
mos2d,0.0,-5.4739652125238376e-15,0.0,-6.3077931979690685e-09,2.99999999999998,6.307797091784053e-09,-2.8399999999999834
mos2d,0.0,-5.132121349786459e-15,0.0,-6.333087192916558e-09,2.99999999999998,6.333091204415736e-09,-2.8299999999999836
mos2d,0.0,-5.346656811543367e-15,0.0,-6.358738765010377e-09,2.99999999999998,6.358743980665998e-09,-2.819999999999984
mos2d,0.0,-5.493195904907423e-15,0.0,-6.384760205591155e-09,2.99999999999998,6.384765066672313e-09,-2.809999999999984
mos2d,0.0,-5.608020621473474e-15,0.0,-6.4111630878484225e-09,2.99999999999998,6.411167622006763e-09,-2.7999999999999843
mos2d,0.0,-5.5059950025416736e-15,0.0,-6.437959731712966e-09,2.99999999999998,6.437964015737849e-09,-2.7899999999999845
mos2d,0.0,-5.4461620016828854e-15,0.0,-6.4651625640206345e-09,2.99999999999998,6.465166871084469e-09,-2.7799999999999847
mos2d,0.0,-5.459370903286179e-15,0.0,-6.492783011966426e-09,2.99999999999998,6.49278655281016e-09,-2.769999999999985
mos2d,0.0,-5.380259259410669e-15,0.0,-6.520833956450952e-09,2.99999999999998,6.5208385508028565e-09,-2.759999999999985
mos2d,0.0,-5.412160184137762e-15,0.0,-6.549327090895555e-09,2.99999999999998,6.549330746963725e-09,-2.7499999999999853
mos2d,0.0,-5.476066520330606e-15,0.0,-6.578274096086729e-09,2.99999999999998,6.5782785555667995e-09,-2.7399999999999856
mos2d,0.0,-5.435601918231059e-15,0.0,-6.6076865560894726e-09,2.99999999999998,6.607690759178181e-09,-2.7299999999999858
mos2d,0.0,-5.1424753250763325e-15,0.0,-6.637575056290354e-09,2.99999999999998,6.637579550377532e-09,-2.719999999999986
mos2d,0.0,-5.472375434636967e-15,0.0,-6.667950094259107e-09,2.99999999999998,6.667954707208254e-09,-2.709999999999986
mos2d,0.0,-5.321522153156273e-15,0.0,-6.698821228612105e-09,2.99999999999998,6.698825858161831e-09,-2.6999999999999864
mos2d,0.0,-5.324574004708066e-15,0.0,-6.7301970780742086e-09,2.99999999999998,6.730202432909445e-09,-2.6899999999999866
mos2d,0.0,-5.315813672877225e-15,0.0,-6.762086040772339e-09,2.99999999999998,6.762090096146697e-09,-2.679999999999987
mos2d,0.0,-5.244278498078731e-15,0.0,-6.794495190931938e-09,2.99999999999998,6.794499854721655e-09,-2.669999999999987
mos2d,0.0,-5.419183409471696e-15,0.0,-6.827430481070756e-09,2.99999999999998,6.827435118696766e-09,-2.6599999999999873
mos2d,0.0,-5.470634988850992e-15,0.0,-6.860897084698405e-09,2.99999999999998,6.860901654173557e-09,-2.6499999999999875
mos2d,0.0,-5.565027744960193e-15,0.0,-6.894900054317759e-09,2.99999999999998,6.894904435206783e-09,-2.6399999999999877
mos2d,0.0,-5.209789419840185e-15,0.0,-6.9294429103361885e-09,2.99999999999998,6.929447511698085e-09,-2.629999999999988
mos2d,0.0,-5.355453552074637e-15,0.0,-6.964528073593942e-09,2.99999999999998,6.964532451809525e-09,-2.619999999999988
mos2d,0.0,-5.278450594030767e-15,0.0,-7.000158298873893e-09,2.99999999999998,7.000163568612769e-09,-2.6099999999999883
mos2d,0.0,-5.379163437818149e-15,0.0,-7.0363356449766814e-09,2.99999999999998,7.0363402441907984e-09,-2.5999999999999885
mos2d,0.0,-5.1996679203676154e-15,0.0,-7.073060980033665e-09,2.99999999999998,7.0730651959256904e-09,-2.5899999999999888
mos2d,0.0,-5.40430164275882e-15,0.0,-7.110335614156693e-09,2.99999999999998,7.110339333221767e-09,-2.579999999999989
mos2d,0.0,-5.197271642047369e-15,0.0,-7.14816158161105e-09,2.99999999999998,7.1481661222404305e-09,-2.569999999999989
mos2d,0.0,-5.3616340834995025e-15,0.0,-7.1865395757951805e-09,2.99999999999998,7.186544715865085e-09,-2.5599999999999894
mos2d,0.0,-5.36582267424537e-15,0.0,-7.2254715710843945e-09,2.99999999999998,7.225475921504419e-09,-2.5499999999999896
mos2d,0.0,-5.33668280543987e-15,0.0,-7.264959407515001e-09,2.99999999999998,7.264963624189622e-09,-2.53999999999999
mos2d,0.0,-5.296185630402974e-15,0.0,-7.3050058645207885e-09,2.99999999999998,7.305010475521894e-09,-2.52999999999999
mos2d,0.0,-5.452944747599927e-15,0.0,-7.345613991212995e-09,2.99999999999998,7.345618301318488e-09,-2.5199999999999902
mos2d,0.0,-5.381614572472845e-15,0.0,-7.386787357947445e-09,2.99999999999998,7.386792207415033e-09,-2.5099999999999905
mos2d,0.0,-5.290976113859719e-15,0.0,-7.4285307864027654e-09,2.99999999999998,7.428534613228706e-09,-2.4999999999999907
mos2d,0.0,-5.15915307730741e-15,0.0,-7.470849692929615e-09,2.99999999999998,7.47085429817306e-09,-2.489999999999991
mos2d,0.0,-5.204084787716755e-15,0.0,-7.51374982467714e-09,2.99999999999998,7.51375397551377e-09,-2.479999999999991
mos2d,0.0,-5.369411745681256e-15,0.0,-7.557239195039399e-09,2.99999999999998,7.557243227322926e-09,-2.4699999999999913
mos2d,0.0,-5.263931057940987e-15,0.0,-7.601324487947114e-09,2.99999999999998,7.601328540973343e-09,-2.4599999999999915
