Step,body_V,body_I,source_V,source_I,drain_V,drain_I,gate_V
mos2d,0.0,-1.2769611296705438e-15,0.0,-1.147713789642409e-06,0.05,1.1477140859532812e-06,0.49999999999999994
mos2d,0.0,-2.069789683695692e-15,0.0,-1.536012149437452e-06,0.1,1.5360125073261949e-06,0.49999999999999994
mos2d,0.0,-2.501771749516738e-15,0.0,-1.7830530998614608e-06,0.15000000000000002,1.7830532293170597e-06,0.49999999999999994
mos2d,0.0,-2.4325319788495455e-15,0.0,-2.0121467805900415e-06,0.2,2.012146945060133e-06,0.49999999999999994
mos2d,0.0,-2.900353293889317e-15,0.0,-2.247507940835276e-06,0.25,2.247507997458073e-06,0.49999999999999994
mos2d,0.0,-3.0809055962094482e-15,0.0,-2.4949256273299802e-06,0.3,2.4949256546305264e-06,0.49999999999999994
mos2d,0.0,-3.0775617568611185e-15,0.0,-2.7565496886255665e-06,0.35,2.7565497033790335e-06,0.49999999999999994
mos2d,0.0,-3.1523718291176252e-15,0.0,-3.03368334560802e-06,0.39999999999999997,3.0336833515684897e-06,0.49999999999999994
mos2d,0.0,-3.0502693781488143e-15,0.0,-3.3273598948442946e-06,0.44999999999999996,3.3273598945994936e-06,0.49999999999999994
mos2d,0.0,-3.2515295990205525e-15,0.0,-3.6385387759668806e-06,0.49999999999999994,3.638538767704843e-06,0.49999999999999994
mos2d,0.0,-3.435636809816288e-15,0.0,-3.9682087703528754e-06,0.5499999999999999,3.968208758488297e-06,0.49999999999999994
mos2d,0.0,-3.5247446526754645e-15,0.0,-4.3174206866698305e-06,0.6,4.317420670931679e-06,0.49999999999999994
mos2d,0.0,-3.596242627522136e-15,0.0,-4.6872820773118226e-06,0.65,4.687282057809984e-06,0.49999999999999994
mos2d,0.0,-3.546568181987142e-15,0.0,-5.078936908878085e-06,0.7000000000000001,5.078936886642696e-06,0.49999999999999994
mos2d,0.0,-3.5380677026668697e-15,0.0,-5.493546088694709e-06,0.7500000000000001,5.493546062880726e-06,0.49999999999999994
mos2d,0.0,-3.6888333490228536e-15,0.0,-5.932272793349424e-06,0.8000000000000002,5.932272764031775e-06,0.49999999999999994
mos2d,0.0,-3.7533867909529896e-15,0.0,-6.3962738603672105e-06,0.8500000000000002,6.396273828118625e-06,0.49999999999999994
mos2d,0.0,-3.5998343999096336e-15,0.0,-6.886701326080494e-06,0.9000000000000002,6.886701290054192e-06,0.49999999999999994
mos2d,0.0,-3.821420673401306e-15,0.0,-7.40471171863439e-06,0.9500000000000003,7.40471167757974e-06,0.49999999999999994
mos2d,0.0,-3.715074610786018e-15,0.0,-7.951473308741547e-06,1.0000000000000002,7.951473268502474e-06,0.49999999999999994
mos2d,0.0,-3.7522627994468565e-15,0.0,-8.52816619351981e-06,1.0500000000000003,8.52816614430908e-06,0.49999999999999994
mos2d,0.0,-3.712440173003599e-15,0.0,-9.135978811474723e-06,1.1000000000000003,9.135978760436488e-06,0.49999999999999994
mos2d,0.0,-3.678310473393874e-15,0.0,-9.776104631835325e-06,1.1500000000000004,9.776104568185825e-06,0.49999999999999994
mos2d,0.0,-4.084580489866858e-15,0.0,-1.0449738313221063e-05,1.2000000000000004,1.044973824033234e-05,0.49999999999999994
mos2d,0.0,-3.928933250451834e-15,0.0,-1.1158069671539068e-05,1.2500000000000004,1.1158069581610331e-05,0.49999999999999994
mos2d,0.0,-3.958126936749531e-15,0.0,-1.1902276806502352e-05,1.3000000000000005,1.1902276701884921e-05,0.49999999999999994
mos2d,0.0,-4.2637999352836834e-15,0.0,-1.2683521650320586e-05,1.3500000000000005,1.2683521521799144e-05,0.49999999999999994
mos2d,0.0,-4.08658281651176e-15,0.0,-1.350294960304207e-05,1.4000000000000006,1.350294945459368e-05,0.49999999999999994
mos2d,0.0,-4.041269733239396e-15,0.0,-1.4361691913677497e-05,1.4500000000000006,1.436169173283376e-05,0.49999999999999994
mos2d,0.0,-4.284992614890446e-15,0.0,-1.526086839099277e-05,1.5000000000000007,1.526086817870439e-05,0.49999999999999994
mos2d,0.0,-4.395927396578895e-15,0.0,-1.6201588226004458e-05,1.5500000000000007,1.620158797061446e-05,0.49999999999999994
mos2d,0.0,-4.346519749419747e-15,0.0,-1.7184948607864108e-05,1.6000000000000008,1.7184948308113842e-05,0.49999999999999994
mos2d,0.0,-4.336288671476073e-15,0.0,-1.821203141015709e-05,1.6500000000000008,1.8212031054752077e-05,0.49999999999999994
mos2d,0.0,-4.4247527701889214e-15,0.0,-1.9283898315551392e-05,1.7000000000000008,1.928389790095366e-05,0.49999999999999994
mos2d,0.0,-4.254379213152605e-15,0.0,-2.0401584420971642e-05,1.7500000000000009,2.040158393543676e-05,0.49999999999999994
mos2d,0.0,-4.264834935412991e-15,0.0,-2.1566090221669982e-05,1.800000000000001,2.156608965975046e-05,0.49999999999999994
mos2d,0.0,-4.31915667824081e-15,0.0,-2.2778372169134193e-05,1.850000000000001,2.2778371514923898e-05,0.49999999999999994
mos2d,0.0,-4.461206029801144e-15,0.0,-2.4039332630144455e-05,1.900000000000001,2.4039331878053246e-05,0.49999999999999994
mos2d,0.0,-4.5607504956382316e-15,0.0,-2.534981064863115e-05,1.950000000000001,2.5349809776755112e-05,0.49999999999999994
mos2d,0.0,-4.4803336399762175e-15,0.0,-2.6710575096161072e-05,2.000000000000001,2.6710574093671107e-05,0.49999999999999994
mos2d,0.0,-4.3703636281253245e-15,0.0,-2.8122321425118878e-05,2.0500000000000007,2.8122320270661387e-05,0.49999999999999994
mos2d,0.0,-4.461856796466743e-15,0.0,-2.958567246857889e-05,2.1000000000000005,2.9585671160622578e-05,0.49999999999999994
mos2d,0.0,-4.467478187487683e-15,0.0,-3.110118285446398e-05,2.1500000000000004,3.110118135308205e-05,0.49999999999999994
mos2d,0.0,-4.422751235630112e-15,0.0,-3.266934614405366e-05,2.2,3.26693444190145e-05,0.49999999999999994
mos2d,0.0,-4.474468054937885e-15,0.0,-3.4290603193525387e-05,2.25,3.429060121368825e-05,0.49999999999999994
mos2d,0.0,-4.4941226502404646e-15,0.0,-3.596535061441287e-05,2.3,3.596534834180736e-05,0.49999999999999994
mos2d,0.0,-4.791879776692189e-15,0.0,-3.76939482480277e-05,2.3499999999999996,3.769394564232876e-05,0.49999999999999994
mos2d,0.0,-4.754469300064994e-15,0.0,-3.947672501572014e-05,2.3999999999999995,3.9476722031205406e-05,0.49999999999999994
mos2d,0.0,-4.584569524119829e-15,0.0,-4.131398282370421e-05,2.4499999999999993,4.131397940915853e-05,0.49999999999999994
mos2d,0.0,-4.7485504034783245e-15,0.0,-4.3205998558203014e-05,2.499999999999999,4.320599465868047e-05,0.49999999999999994
mos2d,0.0,-4.677657331073189e-15,0.0,-4.5153024431472795e-05,2.549999999999999,4.515301998315912e-05,0.49999999999999994
mos2d,0.0,-4.625291564395849e-15,0.0,-4.715528710947091e-05,2.5999999999999988,4.7155282047422125e-05,0.49999999999999994
mos2d,0.0,-4.623320068728245e-15,0.0,-4.921298611092242e-05,2.6499999999999986,4.921298036074112e-05,0.49999999999999994
mos2d,0.0,-4.7059028712857325e-15,0.0,-5.132629189187739e-05,2.6999999999999984,5.132628537405269e-05,0.49999999999999994
mos2d,0.0,-4.566631745884793e-15,0.0,-5.3495343941502634e-05,2.7499999999999982,5.349533656721032e-05,0.49999999999999994
mos2d,0.0,-4.970743222710906e-15,0.0,-5.572024904515856e-05,2.799999999999998,5.572024072035976e-05,0.49999999999999994
mos2d,0.0,-4.854525703090682e-15,0.0,-5.800107975833211e-05,2.849999999999998,5.800107037982129e-05,0.49999999999999994
mos2d,0.0,-4.9588747091729456e-15,0.0,-6.03378730256339e-05,2.8999999999999977,6.0337862482800736e-05,0.49999999999999994
mos2d,0.0,-4.910810680838648e-15,0.0,-6.273062884988839e-05,2.9499999999999975,6.27306170215334e-05,0.49999999999999994
mos2d,0.0,-4.880895447547337e-15,0.0,-6.517930889414124e-05,2.9999999999999973,6.517929565520959e-05,0.49999999999999994
mos2d,0.0,-5.0261702140876336e-15,0.0,-6.768383427350948e-05,3.049999999999997,6.768381957945063e-05,0.49999999999999994
mos2d,0.0,-4.894252118645551e-15,0.0,-7.024408655183468e-05,3.099999999999997,7.024407018058122e-05,0.49999999999999994
mos2d,0.0,-4.909692940280428e-15,0.0,-7.285990205267386e-05,3.149999999999997,7.285988384700896e-05,0.49999999999999994
mos2d,0.0,-4.822581675388514e-15,0.0,-7.553107257899158e-05,3.1999999999999966,7.553105243551102e-05,0.49999999999999994
mos2d,0.0,-4.7648846452622704e-15,0.0,-7.825734313219687e-05,3.2499999999999964,7.82573208150751e-05,0.49999999999999994
mos2d,0.0,-4.878317949569659e-15,0.0,-8.103841038481404e-05,3.2999999999999963,8.10383857052478e-05,0.49999999999999994
mos2d,0.0,-4.892393491136685e-15,0.0,-8.387392157539186e-05,3.349999999999996,8.387389432974224e-05,0.49999999999999994
mos2d,0.0,-5.0184321303803645e-15,0.0,-8.676347378088378e-05,3.399999999999996,8.676344374990563e-05,0.49999999999999994
mos2d,0.0,-4.722723242519836e-15,0.0,-8.970661365658666e-05,3.4499999999999957,8.970658060797856e-05,0.49999999999999994
mos2d,0.0,-5.0499468429646495e-15,0.0,-9.270283765296128e-05,3.4999999999999956,9.270280133808536e-05,0.49999999999999994
mos2d,0.0,-5.0482858457737264e-15,0.0,-9.57515926785969e-05,3.5499999999999954,9.575155282748331e-05,0.49999999999999994
mos2d,0.0,-5.168570883763932e-15,0.0,-9.885227718283732e-05,3.599999999999995,9.885223351032179e-05,0.49999999999999994
mos2d,0.0,-4.924321569125139e-15,0.0,-0.00010200424258858299,3.649999999999995,0.00010200419478755504,0.49999999999999994
mos2d,0.0,-5.15431540395461e-15,0.0,-0.0001052067954583754,3.699999999999995,0.00010520674631411788,0.49999999999999994
