Step,body_V,body_I,source_V,source_I,drain_V,drain_I,gate_V
mos2d,0.0,-2.252076991448542e-15,0.0,-2.1982759310982813e-07,0.05,2.19827608650456e-07,0.49999999999999994
mos2d,0.0,-3.310266350537701e-15,0.0,-2.660914565810003e-07,0.1,2.660915059798115e-07,0.49999999999999994
mos2d,0.0,-3.594082890634561e-15,0.0,-2.8344242438289146e-07,0.15000000000000002,2.8344247974745543e-07,0.49999999999999994
mos2d,0.0,-4.223628743292752e-15,0.0,-2.957877001293888e-07,0.2,2.95787751721411e-07,0.49999999999999994
mos2d,0.0,-4.393542268311454e-15,0.0,-3.0701225226035263e-07,0.25,3.0701229421807356e-07,0.49999999999999994
mos2d,0.0,-4.562565370728705e-15,0.0,-3.1781547462340367e-07,0.3,3.178155058054539e-07,0.49999999999999994
mos2d,0.0,-5.158342559450759e-15,0.0,-3.28373852009195e-07,0.35,3.283738725215671e-07,0.49999999999999994
mos2d,0.0,-5.3345363315959815e-15,0.0,-3.3876477831250764e-07,0.39999999999999997,3.3876479080397753e-07,0.49999999999999994
mos2d,0.0,-5.254421839458197e-15,0.0,-3.4903750931053945e-07,0.44999999999999996,3.4903751918842863e-07,0.49999999999999994
mos2d,0.0,-5.452854440430621e-15,0.0,-3.592280242158575e-07,0.49999999999999994,3.5922802970448653e-07,0.49999999999999994
mos2d,0.0,-5.487766122380853e-15,0.0,-3.693638834077648e-07,0.5499999999999999,3.693638890585159e-07,0.49999999999999994
mos2d,0.0,-5.700724471489685e-15,0.0,-3.794663366250345e-07,0.6,3.794663423066729e-07,0.49999999999999994
mos2d,0.0,-5.4654133369761305e-15,0.0,-3.8955174276597386e-07,0.65,3.895517484482941e-07,0.49999999999999994
mos2d,0.0,-6.22494632868807e-15,0.0,-3.996329229456458e-07,0.7000000000000001,3.9963292848610323e-07,0.49999999999999994
mos2d,0.0,-5.854677188820112e-15,0.0,-4.097202828522645e-07,0.7500000000000001,4.097202892390712e-07,0.49999999999999994
mos2d,0.0,-6.303923335720681e-15,0.0,-4.19822555740018e-07,0.8000000000000002,4.1982256162358643e-07,0.49999999999999994
mos2d,0.0,-6.405418411978724e-15,0.0,-4.2994722073315263e-07,0.8500000000000002,4.2994722683399907e-07,0.49999999999999994
mos2d,0.0,-6.408459752028065e-15,0.0,-4.4010074930460914e-07,0.9000000000000002,4.401007552761097e-07,0.49999999999999994
mos2d,0.0,-6.354256511977379e-15,0.0,-4.502887751320423e-07,0.9500000000000003,4.502887822393591e-07,0.49999999999999994
mos2d,0.0,-6.5112903770698086e-15,0.0,-4.605162154475794e-07,1.0000000000000002,4.605162235289969e-07,0.49999999999999994
mos2d,0.0,-6.8001972373076935e-15,0.0,-4.7078736709300303e-07,1.0500000000000003,4.7078737222409346e-07,0.49999999999999994
mos2d,0.0,-6.705626810952446e-15,0.0,-4.811060066343288e-07,1.1000000000000003,4.811060148030888e-07,0.49999999999999994
mos2d,0.0,-7.077154790788977e-15,0.0,-4.914754970376196e-07,1.1500000000000004,4.914755024042411e-07,0.49999999999999994
mos2d,0.0,-6.898591693081418e-15,0.0,-5.018988901060192e-07,1.2000000000000004,5.018988980207791e-07,0.49999999999999994
mos2d,0.0,-6.87283398322774e-15,0.0,-5.123790102979028e-07,1.2500000000000004,5.123790159358584e-07,0.49999999999999994
mos2d,0.0,-6.894509470921375e-15,0.0,-5.229185160901788e-07,1.3000000000000005,5.229185246012161e-07,0.49999999999999994
mos2d,0.0,-7.187820184076817e-15,0.0,-5.335199414537413e-07,1.3500000000000005,5.335199466648504e-07,0.49999999999999994
