Step,body_V,body_I,source_V,source_I,drain_V,drain_I,gate_V
mos2d,0.0,-7.071784553022435e-15,0.0,-4.879034157265859e-16,2.99999999999998,6.838278275429951e-15,-2.9899999999999802
mos2d,0.0,-7.440560547121293e-15,0.0,-3.7155834871509914e-16,2.99999999999998,6.640308810889523e-15,-2.9799999999999804
mos2d,0.0,-7.396321219050224e-15,0.0,-4.242558574137156e-16,2.99999999999998,6.4031790702148875e-15,-2.9699999999999807
mos2d,0.0,-7.209048089129848e-15,0.0,-5.203042534410989e-16,2.99999999999998,7.1820758231892e-15,-2.959999999999981
mos2d,0.0,-7.494518299231603e-15,0.0,-5.735502056138914e-16,2.99999999999998,7.098201426687757e-15,-2.949999999999981
mos2d,0.0,-7.306254679998832e-15,0.0,-4.061674406852312e-16,2.99999999999998,6.9257738153363796e-15,-2.9399999999999813
mos2d,0.0,-6.955000813890838e-15,0.0,-4.861769797229078e-16,2.99999999999998,6.4890517525892155e-15,-2.9299999999999815
mos2d,0.0,-7.236185822493567e-15,0.0,-2.8241528821817086e-16,2.99999999999998,7.125329298237704e-15,-2.9199999999999817
mos2d,0.0,-7.530809085624047e-15,0.0,-4.1588577217330303e-16,2.99999999999998,5.904980667191947e-15,-2.909999999999982
mos2d,0.0,-7.491853165653879e-15,0.0,-5.462250852022861e-16,2.99999999999998,6.2891704745847494e-15,-2.899999999999982
mos2d,0.0,-7.28940589905834e-15,0.0,-5.870336711492361e-16,2.99999999999998,7.333112168998182e-15,-2.8899999999999824
mos2d,0.0,-7.144322593491667e-15,0.0,-4.646659756185212e-16,2.99999999999998,6.778276426976948e-15,-2.8799999999999826
mos2d,0.0,-7.766151690108915e-15,0.0,-3.5020119792179494e-16,2.99999999999998,7.107123446057151e-15,-2.869999999999983
mos2d,0.0,-7.380716799641417e-15,0.0,-6.246766428469845e-16,2.99999999999998,5.744622814733147e-15,-2.859999999999983
mos2d,0.0,-7.26068721199647e-15,0.0,-4.405696936717781e-16,2.99999999999998,6.071414013471483e-15,-2.849999999999983
mos2d,0.0,-7.228736566239658e-15,0.0,-3.5129414748861277e-16,2.99999999999998,6.711444222635145e-15,-2.8399999999999834
mos2d,0.0,-7.10809453772611e-15,0.0,-2.7912552608546805e-16,2.99999999999998,6.4109784724621155e-15,-2.8299999999999836
mos2d,0.0,-7.440672652770517e-15,0.0,-4.703095553274173e-16,2.99999999999998,5.9991234270991144e-15,-2.819999999999984
mos2d,0.0,-7.493916065228469e-15,0.0,-3.3742934139361875e-16,2.99999999999998,6.70495108986245e-15,-2.809999999999984
mos2d,0.0,-7.165624796033675e-15,0.0,-3.7453049309575545e-16,2.99999999999998,7.753265133825228e-15,-2.7999999999999843
mos2d,0.0,-7.374341024444358e-15,0.0,-3.151766917951441e-16,2.99999999999998,6.136223662775244e-15,-2.7899999999999845
mos2d,0.0,-7.4650623423139e-15,0.0,-5.289959317453761e-16,2.99999999999998,6.93059652610374e-15,-2.7799999999999847
mos2d,0.0,-7.55327258969016e-15,0.0,-3.107180062711992e-16,2.99999999999998,7.674445738476916e-15,-2.769999999999985
mos2d,0.0,-7.610918715662435e-15,0.0,-2.783635703041553e-16,2.99999999999998,6.374128308833309e-15,-2.759999999999985
mos2d,0.0,-7.361825077597621e-15,0.0,-4.282929623188304e-16,2.99999999999998,7.530146121302174e-15,-2.7499999999999853
mos2d,0.0,-7.275769358946545e-15,0.0,-6.372509215969706e-16,2.99999999999998,6.858330914656954e-15,-2.7399999999999856
mos2d,0.0,-7.095406105826676e-15,0.0,-1.5679548726624716e-16,2.99999999999998,6.8322975011042765e-15,-2.7299999999999858
mos2d,0.0,-7.239074353976049e-15,0.0,-6.966405174783492e-16,2.99999999999998,7.113909675331642e-15,-2.719999999999986
mos2d,0.0,-7.386133170015111e-15,0.0,-6.185260637777925e-16,2.99999999999998,6.7834199889508324e-15,-2.709999999999986
mos2d,0.0,-7.280029629118998e-15,0.0,-5.127004989274996e-16,2.99999999999998,6.678010105757625e-15,-2.6999999999999864
mos2d,0.0,-7.470276983364949e-15,0.0,-4.926494937197665e-16,2.99999999999998,6.4524345885862096e-15,-2.6899999999999866
mos2d,0.0,-7.364803351274067e-15,0.0,-4.4083832391720975e-16,2.99999999999998,6.036136304861571e-15,-2.679999999999987
mos2d,0.0,-7.053664465920575e-15,0.0,-4.261236955391863e-16,2.99999999999998,6.530744167865322e-15,-2.669999999999987
mos2d,0.0,-7.117653092845633e-15,0.0,-6.31485470307509e-16,2.99999999999998,6.862432119505532e-15,-2.6599999999999873
mos2d,0.0,-7.601296860492228e-15,0.0,-3.9376395457159714e-16,2.99999999999998,5.748344639576991e-15,-2.6499999999999875
mos2d,0.0,-7.509803764999846e-15,0.0,-3.249338946187756e-16,2.99999999999998,6.983660991096362e-15,-2.6399999999999877
mos2d,0.0,-7.283480290341931e-15,0.0,-4.481846658623138e-16,2.99999999999998,6.5565931523916185e-15,-2.629999999999988
mos2d,0.0,-7.508486182795135e-15,0.0,-4.836196826515595e-16,2.99999999999998,6.645930393988496e-15,-2.619999999999988
mos2d,0.0,-7.186050346264452e-15,0.0,-2.0214304775039107e-16,2.99999999999998,6.5192544309960974e-15,-2.6099999999999883
mos2d,0.0,-7.512833796841677e-15,0.0,-5.121203599211524e-16,2.99999999999998,6.0675940045080235e-15,-2.5999999999999885
mos2d,0.0,-7.521144379611967e-15,0.0,-4.0920848831668686e-16,2.99999999999998,7.055248621628813e-15,-2.5899999999999888
mos2d,0.0,-7.267425740886973e-15,0.0,-5.348477075052915e-16,2.99999999999998,6.420728454381369e-15,-2.579999999999989
mos2d,0.0,-7.432177182583817e-15,0.0,-4.529517430825623e-16,2.99999999999998,6.5551922008042795e-15,-2.569999999999989
mos2d,0.0,-7.503521606375236e-15,0.0,-6.017502870719894e-16,2.99999999999998,6.6908355777791125e-15,-2.5599999999999894
mos2d,0.0,-7.318662116345714e-15,0.0,-6.181094234265943e-16,2.99999999999998,7.768700862456027e-15,-2.5499999999999896
mos2d,0.0,-7.483870270225952e-15,0.0,-4.0500346549607547e-16,2.99999999999998,7.193133115768763e-15,-2.53999999999999
mos2d,0.0,-7.470723407484614e-15,0.0,-2.2197471747060024e-16,2.99999999999998,6.7660795995619224e-15,-2.52999999999999
mos2d,0.0,-7.252097394668626e-15,0.0,-3.7317987760167747e-16,2.99999999999998,6.546013388650421e-15,-2.5199999999999902
mos2d,0.0,-7.443743850759352e-15,0.0,-3.932230286424901e-16,2.99999999999998,5.31718994058096e-15,-2.5099999999999905
mos2d,0.0,-7.472008404690551e-15,0.0,-4.3795385974494055e-16,2.99999999999998,6.792278965569081e-15,-2.4999999999999907
