Step,body_V,body_I,source_V,source_I,drain_V,drain_I,gate_V
mos2d,0.0,-1.8460299180706026e-15,0.0,-2.497878804549301e-07,0.05,2.497879098510624e-07,0.49999999999999994
mos2d,0.0,-3.068404775911379e-15,0.0,-3.0489568044806485e-07,0.1,3.0489569438645225e-07,0.49999999999999994
mos2d,0.0,-3.307494614164252e-15,0.0,-3.2716028486310974e-07,0.15000000000000002,3.2716029586591393e-07,0.49999999999999994
mos2d,0.0,-3.728324046752186e-15,0.0,-3.4363838326056505e-07,0.2,3.436383998664484e-07,0.49999999999999994
mos2d,0.0,-4.070343357126065e-15,0.0,-3.5876094151958345e-07,0.25,3.5876095103100953e-07,0.49999999999999994
mos2d,0.0,-4.487724410645925e-15,0.0,-3.7333094527513743e-07,0.3,3.7333095386111316e-07,0.49999999999999994
mos2d,0.0,-5.005785340791224e-15,0.0,-3.8754636341380015e-07,0.35,3.8754637210055257e-07,0.49999999999999994
mos2d,0.0,-4.854789299134032e-15,0.0,-4.01490455671082e-07,0.39999999999999997,4.0149046366057523e-07,0.49999999999999994
mos2d,0.0,-4.95792783417454e-15,0.0,-4.1521847783291674e-07,0.44999999999999996,4.152184866691426e-07,0.49999999999999994
mos2d,0.0,-5.353782408693244e-15,0.0,-4.2877469837253657e-07,0.49999999999999994,4.287747045550232e-07,0.49999999999999994
mos2d,0.0,-5.413424947891509e-15,0.0,-4.4219701383943675e-07,0.5499999999999999,4.421970211151238e-07,0.49999999999999994
mos2d,0.0,-5.798350982299508e-15,0.0,-4.5551876774630116e-07,0.6,4.555187743618924e-07,0.49999999999999994
mos2d,0.0,-5.7829126280106516e-15,0.0,-4.687695045042211e-07,0.65,4.6876951091172324e-07,0.49999999999999994
mos2d,0.0,-5.738300388237941e-15,0.0,-4.819753691616318e-07,0.7000000000000001,4.81975375440772e-07,0.49999999999999994
mos2d,0.0,-5.856794943092918e-15,0.0,-4.951592874718371e-07,0.7500000000000001,4.951592937075323e-07,0.49999999999999994
mos2d,0.0,-5.8227219227655244e-15,0.0,-5.083410229449928e-07,0.8000000000000002,5.083410290050171e-07,0.49999999999999994
mos2d,0.0,-6.0982433121353286e-15,0.0,-5.215372976003432e-07,0.8500000000000002,5.215373035503802e-07,0.49999999999999994
mos2d,0.0,-6.235032818324344e-15,0.0,-5.347620656163185e-07,0.9000000000000002,5.347620718866929e-07,0.49999999999999994
mos2d,0.0,-6.175488286401941e-15,0.0,-5.480269300421399e-07,0.9500000000000003,5.480269364172284e-07,0.49999999999999994
mos2d,0.0,-6.461227585252176e-15,0.0,-5.613416313738147e-07,1.0000000000000002,5.613416386799038e-07,0.49999999999999994
mos2d,0.0,-6.471096729342533e-15,0.0,-5.747145266662733e-07,1.0500000000000003,5.747145324477416e-07,0.49999999999999994
mos2d,0.0,-6.494672600873293e-15,0.0,-5.881529811272215e-07,1.1000000000000003,5.881529887063432e-07,0.49999999999999994
mos2d,0.0,-6.728137056344616e-15,0.0,-6.016636536219361e-07,1.1500000000000004,6.016636594526154e-07,0.49999999999999994
mos2d,0.0,-6.1832153978058295e-15,0.0,-6.152526959558416e-07,1.2000000000000004,6.152527033060885e-07,0.49999999999999994
mos2d,0.0,-6.86139347906664e-15,0.0,-6.289258849917944e-07,1.2500000000000004,6.289258905365019e-07,0.49999999999999994
mos2d,0.0,-6.377606792758315e-15,0.0,-6.426887056341391e-07,1.3000000000000005,6.426887132668979e-07,0.49999999999999994
mos2d,0.0,-6.790821929378984e-15,0.0,-6.565463920325811e-07,1.3500000000000005,6.565463980987722e-07,0.49999999999999994
mos2d,0.0,-7.133137084903075e-15,0.0,-6.705039396147852e-07,1.4000000000000006,6.705039474387915e-07,0.49999999999999994
mos2d,0.0,-7.15762845957061e-15,0.0,-6.845660948901426e-07,1.4500000000000006,6.845661013174647e-07,0.49999999999999994
mos2d,0.0,-7.080882223826216e-15,0.0,-6.987373363671623e-07,1.5000000000000007,6.987373448912991e-07,0.49999999999999994
mos2d,0.0,-7.106792319974423e-15,0.0,-7.13021853613821e-07,1.5500000000000007,7.130218596487543e-07,0.49999999999999994
mos2d,0.0,-6.978209380520814e-15,0.0,-7.274235414246279e-07,1.6000000000000008,7.274235501434953e-07,0.49999999999999994
mos2d,0.0,-7.447586355711034e-15,0.0,-7.419460046903284e-07,1.6500000000000008,7.419460109288512e-07,0.49999999999999994
mos2d,0.0,-7.014670180990377e-15,0.0,-7.565925772136981e-07,1.7000000000000008,7.565925855514846e-07,0.49999999999999994
mos2d,0.0,-7.446325253936793e-15,0.0,-7.713663434463776e-07,1.7500000000000009,7.713663496432761e-07,0.49999999999999994
mos2d,0.0,-7.163027827054425e-15,0.0,-7.862701660921837e-07,1.800000000000001,7.862701745373193e-07,0.49999999999999994
mos2d,0.0,-7.158542276084888e-15,0.0,-8.013067129558663e-07,1.850000000000001,8.01306720024995e-07,0.49999999999999994
mos2d,0.0,-7.121253067938964e-15,0.0,-8.164784844914225e-07,1.900000000000001,8.164784933501981e-07,0.49999999999999994
mos2d,0.0,-7.578162173873031e-15,0.0,-8.317878421787005e-07,1.950000000000001,8.317878483707455e-07,0.49999999999999994
mos2d,0.0,-7.778665548052017e-15,0.0,-8.472370341973261e-07,2.000000000000001,8.472370409003493e-07,0.49999999999999994
mos2d,0.0,-7.538385889705615e-15,0.0,-8.628282187480136e-07,2.0500000000000007,8.628282251333923e-07,0.49999999999999994
mos2d,0.0,-7.813317581947616e-15,0.0,-8.785634842684774e-07,2.1000000000000005,8.785634906014658e-07,0.49999999999999994
mos2d,0.0,-7.742203759478575e-15,0.0,-8.944448674130567e-07,2.1500000000000004,8.944448739610293e-07,0.49999999999999994
mos2d,0.0,-7.63374808230451e-15,0.0,-9.104743670327066e-07,2.2,9.104743735733632e-07,0.49999999999999994
mos2d,0.0,-8.100932908080962e-15,0.0,-9.266539565713503e-07,2.25,9.266539628725095e-07,0.49999999999999994
mos2d,0.0,-8.03372209456141e-15,0.0,-9.429855943129066e-07,2.3,9.42985600605773e-07,0.49999999999999994
mos2d,0.0,-8.003658033781523e-15,0.0,-9.594712290975532e-07,2.3499999999999996,9.59471235816548e-07,0.49999999999999994
mos2d,0.0,-7.797981047829005e-15,0.0,-9.7611280491968e-07,2.3999999999999995,9.761128116588534e-07,0.49999999999999994
mos2d,0.0,-7.90397261135067e-15,0.0,-9.929122612563096e-07,2.4499999999999993,9.929122675106836e-07,0.49999999999999994
mos2d,0.0,-7.92376453641247e-15,0.0,-1.009871531471218e-06,2.499999999999999,1.0098715395423019e-06,0.49999999999999994
mos2d,0.0,-8.02424339903893e-15,0.0,-1.0269925414978144e-06,2.549999999999999,1.026992548172044e-06,0.49999999999999994
mos2d,0.0,-7.735134237752923e-15,0.0,-1.0442772044439236e-06,2.5999999999999988,1.044277212131858e-06,0.49999999999999994
mos2d,0.0,-7.869049946243144e-15,0.0,-1.0617274208226618e-06,2.6499999999999986,1.0617274281894397e-06,0.49999999999999994
mos2d,0.0,-8.004625115142407e-15,0.0,-1.0793450741313365e-06,2.6999999999999984,1.0793450808893228e-06,0.49999999999999994
mos2d,0.0,-8.37373016353319e-15,0.0,-1.0971320293013913e-06,2.7499999999999982,1.0971320355525333e-06,0.49999999999999994
mos2d,0.0,-8.214862135098243e-15,0.0,-1.115090132269171e-06,2.799999999999998,1.1150901393018834e-06,0.49999999999999994
mos2d,0.0,-8.323597073400762e-15,0.0,-1.1332212073962684e-06,2.849999999999998,1.133221214530541e-06,0.49999999999999994
mos2d,0.0,-8.218136597518922e-15,0.0,-1.1515270587837672e-06,2.8999999999999977,1.1515270663255506e-06,0.49999999999999994
mos2d,0.0,-8.240091311076521e-15,0.0,-1.1700094675686422e-06,2.9499999999999975,1.1700094746918335e-06,0.49999999999999994
mos2d,0.0,-8.388204437067119e-15,0.0,-1.1886701942339772e-06,2.9999999999999973,1.188670201102779e-06,0.49999999999999994
mos2d,0.0,-8.459609646886186e-15,0.0,-1.2075109764383822e-06,3.049999999999997,1.207510984094449e-06,0.49999999999999994
mos2d,0.0,-8.237810134767741e-15,0.0,-1.2265335328890052e-06,3.099999999999997,1.2265335396222476e-06,0.49999999999999994
mos2d,0.0,-8.363266264904444e-15,0.0,-1.2457395625066059e-06,3.149999999999997,1.2457395699018909e-06,0.49999999999999994
mos2d,0.0,-8.526221173387504e-15,0.0,-1.2651307471139638e-06,3.1999999999999966,1.2651307543485703e-06,0.49999999999999994
mos2d,0.0,-8.470207923158062e-15,0.0,-1.2847087531786395e-06,3.2499999999999964,1.2847087597611475e-06,0.49999999999999994
mos2d,0.0,-8.287481837947994e-15,0.0,-1.3044752329490226e-06,3.2999999999999963,1.3044752406100619e-06,0.49999999999999994
mos2d,0.0,-8.554996505849013e-15,0.0,-1.3244318276785887e-06,3.349999999999996,1.3244318349572352e-06,0.49999999999999994
mos2d,0.0,-8.325965242438123e-15,0.0,-1.3445801671550629e-06,3.399999999999996,1.344580174361573e-06,0.49999999999999994
mos2d,0.0,-8.330858042964094e-15,0.0,-1.3649218713635947e-06,3.4499999999999957,1.3649218788445204e-06,0.49999999999999994
mos2d,0.0,-8.84719372391688e-15,0.0,-1.3854585521010687e-06,3.4999999999999956,1.3854585598886022e-06,0.49999999999999994
mos2d,0.0,-8.332224184784009e-15,0.0,-1.4061918121493892e-06,3.5499999999999954,1.4061918199704285e-06,0.49999999999999994
mos2d,0.0,-8.549723259747525e-15,0.0,-1.4271232466597691e-06,3.599999999999995,1.4271232550488588e-06,0.49999999999999994
mos2d,0.0,-8.466741802588629e-15,0.0,-1.4482544414596034e-06,3.649999999999995,1.448254448213172e-06,0.49999999999999994
mos2d,0.0,-8.603506778696154e-15,0.0,-1.4695869734254563e-06,3.699999999999995,1.4695869795772794e-06,0.49999999999999994
mos2d,0.0,-8.764937020519988e-15,0.0,-1.4911224089912244e-06,3.7499999999999947,1.491122417935459e-06,0.49999999999999994
mos2d,0.0,-8.752907117575716e-15,0.0,-1.512862303392917e-06,3.7999999999999945,1.5128623105160805e-06,0.49999999999999994
mos2d,0.0,-8.391812929672766e-15,0.0,-1.5348081990245323e-06,3.8499999999999943,1.5348082071125833e-06,0.49999999999999994
