Step,body_V,body_I,source_V,source_I,drain_V,drain_I,gate_V
mos2d,0.0,-7.499143728998378e-15,0.0,-5.763611195125654e-16,2.99999999999998,7.765251532286443e-15,-2.9899999999999802
mos2d,0.0,-7.193774349879335e-15,0.0,-9.295489070153815e-16,2.99999999999998,7.530311502444579e-15,-2.9799999999999804
mos2d,0.0,-7.430650117427e-15,0.0,-1.0054726946974157e-15,2.99999999999998,6.947681483089331e-15,-2.9699999999999807
mos2d,0.0,-7.581256725437872e-15,0.0,-9.379935868512775e-16,2.99999999999998,6.858762552798707e-15,-2.959999999999981
mos2d,0.0,-7.506140070271076e-15,0.0,-7.021125696539592e-16,2.99999999999998,7.292236315493127e-15,-2.949999999999981
mos2d,0.0,-7.311120366909705e-15,0.0,-7.048865429676583e-16,2.99999999999998,7.185355054334566e-15,-2.9399999999999813
mos2d,0.0,-7.176440265602499e-15,0.0,-8.338026999540324e-16,2.99999999999998,7.337435610394498e-15,-2.9299999999999815
mos2d,0.0,-7.49827499402274e-15,0.0,-8.250342435199684e-16,2.99999999999998,7.180623614939384e-15,-2.9199999999999817
mos2d,0.0,-7.486356714054577e-15,0.0,-8.683815338754033e-16,2.99999999999998,6.764591100893121e-15,-2.909999999999982
mos2d,0.0,-7.207649801171052e-15,0.0,-8.701483464179687e-16,2.99999999999998,6.681415423864725e-15,-2.899999999999982
mos2d,0.0,-7.320340157928624e-15,0.0,-1.0048933963745408e-15,2.99999999999998,7.278310003955012e-15,-2.8899999999999824
mos2d,0.0,-7.225736539149149e-15,0.0,-7.21079853995219e-16,2.99999999999998,7.209417563548829e-15,-2.8799999999999826
mos2d,0.0,-7.33813812570993e-15,0.0,-9.705859554660969e-16,2.99999999999998,7.973839317778551e-15,-2.869999999999983
mos2d,0.0,-7.248373233028306e-15,0.0,-7.067847032382472e-16,2.99999999999998,7.19731561565074e-15,-2.859999999999983
mos2d,0.0,-7.362442040435344e-15,0.0,-7.837316248537271e-16,2.99999999999998,7.286126972855503e-15,-2.849999999999983
mos2d,0.0,-7.078169313481382e-15,0.0,-7.00888392045854e-16,2.99999999999998,7.278823660316149e-15,-2.8399999999999834
mos2d,0.0,-7.232751059990109e-15,0.0,-8.113613925202911e-16,2.99999999999998,6.818933208745961e-15,-2.8299999999999836
mos2d,0.0,-7.440839201415073e-15,0.0,-8.093603310526019e-16,2.99999999999998,7.070488124934419e-15,-2.819999999999984
mos2d,0.0,-7.602634820000987e-15,0.0,-1.0084198793465752e-15,2.99999999999998,7.151613635354514e-15,-2.809999999999984
mos2d,0.0,-7.565054875691679e-15,0.0,-8.613054959777071e-16,2.99999999999998,7.298694095319226e-15,-2.7999999999999843
mos2d,0.0,-7.49037605419123e-15,0.0,-8.542635235035511e-16,2.99999999999998,7.738262608127419e-15,-2.7899999999999845
mos2d,0.0,-7.411504778629135e-15,0.0,-9.493897202077188e-16,2.99999999999998,6.927547570813036e-15,-2.7799999999999847
mos2d,0.0,-7.342962221821194e-15,0.0,-7.919346215640827e-16,2.99999999999998,7.283082321241559e-15,-2.769999999999985
mos2d,0.0,-7.509192886346318e-15,0.0,-7.150772378873002e-16,2.99999999999998,7.245623574041665e-15,-2.759999999999985
mos2d,0.0,-7.142814580380075e-15,0.0,-8.080613493895103e-16,2.99999999999998,7.161650803081518e-15,-2.7499999999999853
mos2d,0.0,-7.555545899628876e-15,0.0,-8.617777346831545e-16,2.99999999999998,7.318208433978096e-15,-2.7399999999999856
mos2d,0.0,-7.374927699790907e-15,0.0,-6.761097222412991e-16,2.99999999999998,7.162784057948143e-15,-2.7299999999999858
mos2d,0.0,-7.60758423943479e-15,0.0,-9.270769424644668e-16,2.99999999999998,6.9905918100189235e-15,-2.719999999999986
mos2d,0.0,-7.625575791341898e-15,0.0,-7.285644517424574e-16,2.99999999999998,7.390950211458708e-15,-2.709999999999986
mos2d,0.0,-7.627234461182476e-15,0.0,-9.506753814620568e-16,2.99999999999998,6.898126814211437e-15,-2.6999999999999864
mos2d,0.0,-7.332570761306436e-15,0.0,-7.90413600877558e-16,2.99999999999998,7.282543711853449e-15,-2.6899999999999866
mos2d,0.0,-7.096576892767528e-15,0.0,-6.810243467906554e-16,2.99999999999998,6.9044727344958306e-15,-2.679999999999987
mos2d,0.0,-7.482391906805741e-15,0.0,-1.0069137809218237e-15,2.99999999999998,7.713065963026636e-15,-2.669999999999987
mos2d,0.0,-7.480016800628762e-15,0.0,-8.58299685968818e-16,2.99999999999998,6.9614456329822945e-15,-2.6599999999999873
mos2d,0.0,-7.454862188129495e-15,0.0,-8.425427588203529e-16,2.99999999999998,6.769229491929631e-15,-2.6499999999999875
mos2d,0.0,-7.412335683980266e-15,0.0,-7.411376608269046e-16,2.99999999999998,7.57184243300778e-15,-2.6399999999999877
