Step,body_V,body_I,source_V,source_I,drain_V,drain_I,gate_V
mos2d,0.0,-2.585438444518031e-15,0.0,-2.416493504420159e-07,0.05,2.416493713830049e-07,0.49999999999999994
mos2d,0.0,-3.5620825209768686e-15,0.0,-2.9117558378677826e-07,0.1,2.911756493888954e-07,0.49999999999999994
mos2d,0.0,-4.033861997114217e-15,0.0,-3.086839881697325e-07,0.15000000000000002,3.0868406739197457e-07,0.49999999999999994
mos2d,0.0,-4.336894277075636e-15,0.0,-3.2063052631575576e-07,0.2,3.206305957345537e-07,0.49999999999999994
mos2d,0.0,-4.563978237657676e-15,0.0,-3.3129849914488686e-07,0.25,3.312985539181196e-07,0.49999999999999994
mos2d,0.0,-4.748631116017294e-15,0.0,-3.4145807880487745e-07,0.3,3.414581187722417e-07,0.49999999999999994
mos2d,0.0,-4.907194050608905e-15,0.0,-3.513036557226799e-07,0.35,3.5130368015728484e-07,0.49999999999999994
mos2d,0.0,-5.048575990736434e-15,0.0,-3.6092044397735113e-07,0.39999999999999997,3.6092045755817713e-07,0.49999999999999994
mos2d,0.0,-5.178331844848416e-15,0.0,-3.703630426986918e-07,0.44999999999999996,3.7036305188148516e-07,0.49999999999999994
mos2d,0.0,-5.299840096442659e-15,0.0,-3.796709728511293e-07,0.49999999999999994,3.7967097887734705e-07,0.49999999999999994
mos2d,0.0,-5.415048074174081e-15,0.0,-3.8887378026657637e-07,0.5499999999999999,3.888737858712763e-07,0.49999999999999994
mos2d,0.0,-5.525415202220511e-15,0.0,-3.979942257605252e-07,0.6,3.979942314050134e-07,0.49999999999999994
mos2d,0.0,-5.631526581717268e-15,0.0,-4.070504206868237e-07,0.65,4.0705042667455136e-07,0.49999999999999994
mos2d,0.0,-5.7341538738635934e-15,0.0,-4.160571574498913e-07,0.7000000000000001,4.1605716332883684e-07,0.49999999999999994
mos2d,0.0,-5.833649973055015e-15,0.0,-4.250268329721342e-07,0.7500000000000001,4.250268385481341e-07,0.49999999999999994
mos2d,0.0,-5.930103447030211e-15,0.0,-4.339700601997297e-07,0.8000000000000002,4.339700665058847e-07,0.49999999999999994
mos2d,0.0,-6.023977592597051e-15,0.0,-4.4289597914713884e-07,0.8500000000000002,4.4289598561776074e-07,0.49999999999999994
mos2d,0.0,-6.11528224552206e-15,0.0,-4.5181242840596615e-07,0.9000000000000002,4.5181243475648005e-07,0.49999999999999994
mos2d,0.0,-6.204012967562337e-15,0.0,-4.6072611664665414e-07,0.9500000000000003,4.607261229323336e-07,0.49999999999999994
mos2d,0.0,-6.290465870037967e-15,0.0,-4.696428139809487e-07,1.0000000000000002,4.696428207072092e-07,0.49999999999999994
mos2d,0.0,-6.374645669237798e-15,0.0,-4.785675228444463e-07,1.0500000000000003,4.785675291742874e-07,0.49999999999999994
mos2d,0.0,-6.456601498336127e-15,0.0,-4.875046144954445e-07,1.1000000000000003,4.875046211727402e-07,0.49999999999999994
mos2d,0.0,-6.536585648659191e-15,0.0,-4.964579362916346e-07,1.1500000000000004,4.964579423948853e-07,0.49999999999999994
mos2d,0.0,-6.6145291883348045e-15,0.0,-5.054309008159467e-07,1.2000000000000004,5.054309077895157e-07,0.49999999999999994
mos2d,0.0,-6.690690816831995e-15,0.0,-5.144265607456604e-07,1.2500000000000004,5.144265671024617e-07,0.49999999999999994
mos2d,0.0,-6.765066505931168e-15,0.0,-5.234476699235253e-07,1.3000000000000005,5.234476766852021e-07,0.49999999999999994
mos2d,0.0,-6.837803591992511e-15,0.0,-5.324967314048834e-07,1.3500000000000005,5.324967378939536e-07,0.49999999999999994
mos2d,0.0,-6.908954829779292e-15,0.0,-5.415760387741786e-07,1.4000000000000006,5.415760459653407e-07,0.49999999999999994
mos2d,0.0,-6.978521435314752e-15,0.0,-5.506877067197489e-07,1.4500000000000006,5.506877134573777e-07,0.49999999999999994
mos2d,0.0,-7.0469012072691804e-15,0.0,-5.598336996624589e-07,1.5000000000000007,5.598337072725534e-07,0.49999999999999994
mos2d,0.0,-7.113663593603472e-15,0.0,-5.690158603718181e-07,1.5500000000000007,5.690158671912075e-07,0.49999999999999994
mos2d,0.0,-7.179221417962589e-15,0.0,-5.782359425553993e-07,1.6000000000000008,5.78235950186454e-07,0.49999999999999994
mos2d,0.0,-7.243691524132597e-15,0.0,-5.874956424835766e-07,1.6500000000000008,5.874956490571758e-07,0.49999999999999994
mos2d,0.0,-7.306805466357752e-15,0.0,-5.967966261616807e-07,1.7000000000000008,5.967966335369161e-07,0.49999999999999994
mos2d,0.0,-7.368725603302057e-15,0.0,-6.061405521729469e-07,1.7500000000000009,6.061405593238743e-07,0.49999999999999994
mos2d,0.0,-7.429611984821452e-15,0.0,-6.155290809930928e-07,1.800000000000001,6.155290887574208e-07,0.49999999999999994
mos2d,0.0,-7.48923890105209e-15,0.0,-6.249638770775105e-07,1.850000000000001,6.249638843875443e-07,0.49999999999999994
mos2d,0.0,-7.547787604012513e-15,0.0,-6.344466066100118e-07,1.900000000000001,6.344466140984565e-07,0.49999999999999994
mos2d,0.0,-7.605279410301663e-15,0.0,-6.439789294420955e-07,1.950000000000001,6.439789364298832e-07,0.49999999999999994
mos2d,0.0,-7.6616218498516e-15,0.0,-6.535624923411808e-07,2.000000000000001,6.535625000004181e-07,0.49999999999999994
mos2d,0.0,-7.716954170554904e-15,0.0,-6.631989200950043e-07,2.0500000000000007,6.631989275509495e-07,0.49999999999999994
mos2d,0.0,-7.771241823726705e-15,0.0,-6.72889806755671e-07,2.1000000000000005,6.728898143309551e-07,0.49999999999999994
mos2d,0.0,-7.824573313922285e-15,0.0,-6.826367083971632e-07,2.1500000000000004,6.826367159634867e-07,0.49999999999999994
mos2d,0.0,-7.876734398937759e-15,0.0,-6.924411345760025e-07,2.2,6.924411423362242e-07,0.49999999999999994
mos2d,0.0,-7.928010337299212e-15,0.0,-7.023045426536593e-07,2.25,7.023045497886579e-07,0.49999999999999994
mos2d,0.0,-7.978358944246094e-15,0.0,-7.122283324074678e-07,2.3,7.122283398383923e-07,0.49999999999999994
mos2d,0.0,-8.027748364345432e-15,0.0,-7.222138432517881e-07,2.3499999999999996,7.222138508390214e-07,0.49999999999999994
mos2d,0.0,-8.076151116479127e-15,0.0,-7.322623526193919e-07,2.3999999999999995,7.322623600113728e-07,0.49999999999999994
mos2d,0.0,-8.12374718858499e-15,0.0,-7.423750765545124e-07,2.4499999999999993,7.423750842024623e-07,0.49999999999999994
mos2d,0.0,-8.170413231535732e-15,0.0,-7.525531709828084e-07,2.499999999999999,7.525531786518982e-07,0.49999999999999994
mos2d,0.0,-8.17561886698835e-15,0.0,-7.627977396602029e-07,2.549999999999999,7.627886607695906e-07,0.49999999999999994
mos2d,0.0,-8.22440847261389e-15,0.0,-7.731098155431071e-07,2.5999999999999988,7.731004454736503e-07,0.49999999999999994
mos2d,0.0,-8.271653282079459e-15,0.0,-7.834903970726648e-07,2.6499999999999986,7.834806779812377e-07,0.49999999999999994
mos2d,0.0,-8.317717694491036e-15,0.0,-7.939404292651688e-07,2.6999999999999984,7.939303002376446e-07,0.49999999999999994
mos2d,0.0,-8.36243830916336e-15,0.0,-8.044608136100119e-07,2.7499999999999982,8.044502114402957e-07,0.49999999999999994
mos2d,0.0,-8.40615461474153e-15,0.0,-8.150524111535759e-07,2.799999999999998,8.150412697805172e-07,0.49999999999999994
mos2d,0.0,-8.448814136882073e-15,0.0,-8.257160458604787e-07,2.849999999999998,8.257042939237647e-07,0.49999999999999994
mos2d,0.0,-8.490560115267305e-15,0.0,-8.364525074556877e-07,2.8999999999999977,8.364400696717401e-07,0.49999999999999994
mos2d,0.0,-8.531390484457495e-15,0.0,-8.472625547278734e-07,2.9499999999999975,8.472493485620601e-07,0.49999999999999994
mos2d,0.0,-8.571357822085628e-15,0.0,-8.581469171138648e-07,2.9999999999999973,8.581328520030669e-07,0.49999999999999994
mos2d,0.0,-8.610597033199433e-15,0.0,-8.691062975979386e-07,3.049999999999997,8.69091276028626e-07,0.49999999999999994
mos2d,0.0,-8.649050841018576e-15,0.0,-8.801413739316502e-07,3.099999999999997,8.801252861958645e-07,0.49999999999999994
mos2d,0.0,-8.686768866681551e-15,0.0,-8.912528006062594e-07,3.149999999999997,8.9123552592114e-07,0.49999999999999994
mos2d,0.0,-8.723865933633032e-15,0.0,-9.024412089975614e-07,3.1999999999999966,9.024226117348486e-07,0.49999999999999994
mos2d,0.0,-8.760183249429815e-15,0.0,-9.13707208688319e-07,3.2499999999999964,9.136871365209157e-07,0.49999999999999994
mos2d,0.0,-8.795869206606944e-15,0.0,-9.250513877325246e-07,3.2999999999999963,9.250296706149429e-07,0.49999999999999994
mos2d,0.0,-8.830930034709094e-15,0.0,-9.364743118190678e-07,3.349999999999996,9.364507561577037e-07,0.49999999999999994
mos2d,0.0,-8.86526789132593e-15,0.0,-9.479765244935458e-07,3.399999999999996,9.479509122739748e-07,0.49999999999999994
mos2d,0.0,-8.924608100982353e-15,0.0,-9.59558537528491e-07,3.4499999999999957,9.595585456450297e-07,0.49999999999999994
mos2d,0.0,-8.958631179386556e-15,0.0,-9.71220860800901e-07,3.4999999999999956,9.71220869549473e-07,0.49999999999999994
mos2d,0.0,-8.992177359695038e-15,0.0,-9.82963954430143e-07,3.5499999999999954,9.82963962502128e-07,0.49999999999999994
mos2d,0.0,-9.025213842575725e-15,0.0,-9.94788255698418e-07,3.599999999999995,9.9478826421074e-07,0.49999999999999994
mos2d,0.0,-9.057808152349972e-15,0.0,-1.006694170028521e-06,3.649999999999995,1.0066941779103986e-06,0.49999999999999994
mos2d,0.0,-9.089892387068305e-15,0.0,-1.0186820658695235e-06,3.699999999999995,1.018682073814438e-06,0.49999999999999994
mos2d,0.0,-9.121593146245518e-15,0.0,-1.0307522715036946e-06,3.7499999999999947,1.030752278946891e-06,0.49999999999999994
mos2d,0.0,-9.15276891023124e-15,0.0,-1.0429050697578464e-06,3.7999999999999945,1.0429050776547828e-06,0.49999999999999994
mos2d,0.0,-9.183571830248899e-15,0.0,-1.0551406925772422e-06,3.8499999999999943,1.0551406998241669e-06,0.49999999999999994
mos2d,0.0,-9.21390332045544e-15,0.0,-1.0674593141175446e-06,3.899999999999994,1.0674593217736215e-06,0.49999999999999994
mos2d,0.0,-9.243781157340571e-15,0.0,-1.0798610440412875e-06,3.949999999999994,1.0798610515345158e-06,0.49999999999999994
mos2d,0.0,-9.273371809055147e-15,0.0,-1.0923459189780895e-06,3.999999999999994,1.0923459268021142e-06,0.49999999999999994
mos2d,0.0,-9.302460062348451e-15,0.0,-1.1049138928739917e-06,4.049999999999994,1.1049139005185373e-06,0.49999999999999994
mos2d,0.0,-9.331142087434168e-15,0.0,-1.1175648287100656e-06,4.099999999999993,1.117564835613952e-06,0.49999999999999994
mos2d,0.0,-9.359413318896766e-15,0.0,-1.1302984859522966e-06,4.149999999999993,1.1302984932792576e-06,0.49999999999999994
mos2d,0.0,-9.387352773798324e-15,0.0,-1.1431145107176957e-06,4.199999999999993,1.1431145162817442e-06,0.49999999999999994
mos2d,0.0,-9.414871268398836e-15,0.0,-1.1560124240099115e-06,4.249999999999993,1.1560124296175202e-06,0.49999999999999994
mos2d,0.0,-9.441996290097119e-15,0.0,-1.1689916123223841e-06,4.299999999999993,1.1689916176199622e-06,0.49999999999999994
mos2d,0.0,-9.468724380873754e-15,0.0,-1.1820513193608883e-06,4.3499999999999925,1.182051323445972e-06,0.49999999999999994
mos2d,0.0,-9.495110569248284e-15,0.0,-1.1951906422428009e-06,4.399999999999992,1.1951906465151158e-06,0.49999999999999994
mos2d,0.0,-9.521103678948781e-15,0.0,-1.2084085345931204e-06,4.449999999999992,1.2084085379750278e-06,0.49999999999999994
mos2d,0.0,-9.546667033027864e-15,0.0,-1.2217038206396663e-06,4.499999999999992,1.2217038242108458e-06,0.49999999999999994
mos2d,0.0,-9.57191184619253e-15,0.0,-1.2350752231781978e-06,4.549999999999992,1.2350752270500822e-06,0.49999999999999994
mos2d,0.0,-9.59678992356839e-15,0.0,-1.248521412070875e-06,4.599999999999992,1.2485214152095317e-06,0.49999999999999994
mos2d,0.0,-9.621125910519508e-15,0.0,-1.2620410775320887e-06,4.6499999999999915,1.2620410813121069e-06,0.49999999999999994
mos2d,0.0,-9.64525550824954e-15,0.0,-1.2756330291516263e-06,4.699999999999991,1.2756330339164399e-06,0.49999999999999994
mos2d,0.0,-9.668922424876694e-15,0.0,-1.28929631942495e-06,4.749999999999991,1.2892963266393298e-06,0.49999999999999994
mos2d,0.0,-9.692221829554739e-15,0.0,-1.3030303809816495e-06,4.799999999999991,1.3030303899060469e-06,0.49999999999999994
