Step,body_V,body_I,source_V,source_I,drain_V,drain_I,gate_V
mos2d,0.0,-4.60114866793897e-15,0.0,-6.8656724344980544e-06,2.99999999999998,6.865672406582876e-06,-2.9899999999999802
mos2d,0.0,-4.6012121693874015e-15,0.0,-6.892726051791362e-06,2.99999999999998,6.892726024723569e-06,-2.9799999999999804
mos2d,0.0,-4.601213065379656e-15,0.0,-6.920049541339845e-06,2.99999999999998,6.920049507003649e-06,-2.9699999999999807
mos2d,0.0,-4.600936183338124e-15,0.0,-6.947649027433967e-06,2.99999999999998,6.947649000806428e-06,-2.959999999999981
mos2d,0.0,-4.601148812797488e-15,0.0,-6.97553117465818e-06,2.99999999999998,6.975531157109228e-06,-2.949999999999981
mos2d,0.0,-4.60110135019831e-15,0.0,-7.0036959510171895e-06,2.99999999999998,7.003695922469955e-06,-2.9399999999999813
mos2d,0.0,-4.600758275156294e-15,0.0,-7.032145868723592e-06,2.99999999999998,7.0321458419148216e-06,-2.9299999999999815
mos2d,0.0,-4.600833994559962e-15,0.0,-7.060895401540046e-06,2.99999999999998,7.0608953805909454e-06,-2.9199999999999817
mos2d,0.0,-4.601037589448594e-15,0.0,-7.089934177450969e-06,2.99999999999998,7.08993413854372e-06,-2.909999999999982
mos2d,0.0,-4.600973119607018e-15,0.0,-7.1192760522976445e-06,2.99999999999998,7.1192760209875e-06,-2.899999999999982
mos2d,0.0,-4.600939482789352e-15,0.0,-7.148921577594e-06,2.99999999999998,7.148921547878875e-06,-2.8899999999999824
mos2d,0.0,-4.600870087878193e-15,0.0,-7.1788762162892305e-06,2.99999999999998,7.178876186474771e-06,-2.8799999999999826
mos2d,0.0,-4.6006793882531635e-15,0.0,-7.2091437407677015e-06,2.99999999999998,7.209143709876426e-06,-2.869999999999983
mos2d,0.0,-4.600873431633786e-15,0.0,-7.23972971871109e-06,2.99999999999998,7.239729690392435e-06,-2.859999999999983
mos2d,0.0,-4.600833699185306e-15,0.0,-7.270639215814727e-06,2.99999999999998,7.270639182181648e-06,-2.849999999999983
mos2d,0.0,-4.600363700188724e-15,0.0,-7.301869897719341e-06,2.99999999999998,7.301869870725802e-06,-2.8399999999999834
mos2d,0.0,-4.599674136955699e-15,0.0,-7.33344083214697e-06,2.99999999999998,7.333440800335013e-06,-2.8299999999999836
mos2d,0.0,-4.600743993574885e-15,0.0,-7.365347418162806e-06,2.99999999999998,7.365347391599981e-06,-2.819999999999984
mos2d,0.0,-4.600586443770173e-15,0.0,-7.3975974887948e-06,2.99999999999998,7.3975974494828355e-06,-2.809999999999984
mos2d,0.0,-4.60069352021971e-15,0.0,-7.430186843901411e-06,2.99999999999998,7.430186806992167e-06,-2.7999999999999843
