Step,body_V,body_I,source_V,source_I,drain_V,drain_I,gate_V
mos2d,0.0,-2.4734799458657667e-15,0.0,-1.3265648285057285e-08,2.99999999999998,1.3265627746171463e-08,-2.9899999999999802
mos2d,0.0,-2.4732708715491515e-15,0.0,-1.3283326174627286e-08,2.99999999999998,1.3283304585192483e-08,-2.9799999999999804
mos2d,0.0,-2.473091375176126e-15,0.0,-1.3301153334026388e-08,2.99999999999998,1.3301126059213109e-08,-2.9699999999999807
mos2d,0.0,-2.472927092616407e-15,0.0,-1.3319133791940051e-08,2.99999999999998,1.3319106090269634e-08,-2.959999999999981
mos2d,0.0,-2.4726976775597295e-15,0.0,-1.3337263926951525e-08,2.99999999999998,1.3337229974830179e-08,-2.949999999999981
mos2d,0.0,-2.472494857878003e-15,0.0,-1.3355549661221666e-08,2.99999999999998,1.335551451993806e-08,-2.9399999999999813
mos2d,0.0,-2.4723038425106868e-15,0.0,-1.3373992793955607e-08,2.99999999999998,1.3373963339759114e-08,-2.9299999999999815
mos2d,0.0,-2.4721729983804934e-15,0.0,-1.3392591726837326e-08,2.99999999999998,1.3392562070594234e-08,-2.9199999999999817
mos2d,0.0,-2.4719337005623163e-15,0.0,-1.341135212144218e-08,2.99999999999998,1.3411323754506058e-08,-2.909999999999982
mos2d,0.0,-2.471738712618562e-15,0.0,-1.3430269958795899e-08,2.99999999999998,1.3430236693377843e-08,-2.899999999999982
mos2d,0.0,-2.47157130099143e-15,0.0,-1.3449352687908388e-08,2.99999999999998,1.3449317530718201e-08,-2.8899999999999824
mos2d,0.0,-2.4713488518898157e-15,0.0,-1.3468598740303496e-08,2.99999999999998,1.3468570347445627e-08,-2.8799999999999826
mos2d,0.0,-2.4711306330344587e-15,0.0,-1.3488012127219101e-08,2.99999999999998,1.3487982569816685e-08,-2.869999999999983
mos2d,0.0,-2.470952750178283e-15,0.0,-1.3507590930299313e-08,2.99999999999998,1.3507554661860324e-08,-2.859999999999983
mos2d,0.0,-2.4707250536026054e-15,0.0,-1.3527338752325892e-08,2.99999999999998,1.3527310517821954e-08,-2.849999999999983
mos2d,0.0,-2.470507284154141e-15,0.0,-1.354725783493899e-08,2.99999999999998,1.35472313833485e-08,-2.8399999999999834
mos2d,0.0,-2.4703053101933022e-15,0.0,-1.3567349961696286e-08,2.99999999999998,1.3567320411660445e-08,-2.8299999999999836
mos2d,0.0,-2.4701164314271273e-15,0.0,-1.3587619578572755e-08,2.99999999999998,1.3587594262805913e-08,-2.819999999999984
mos2d,0.0,-2.4698763781496223e-15,0.0,-1.3608064138582039e-08,2.99999999999998,1.360803310858879e-08,-2.809999999999984
mos2d,0.0,-2.469649721689948e-15,0.0,-1.362869061369156e-08,2.99999999999998,1.3628662089673637e-08,-2.7999999999999843
mos2d,0.0,-2.469433947605101e-15,0.0,-1.3649499449912653e-08,2.99999999999998,1.3649473620623286e-08,-2.7899999999999845
mos2d,0.0,-2.4691851812131224e-15,0.0,-1.3670490776125324e-08,2.99999999999998,1.3670465897658304e-08,-2.7799999999999847
mos2d,0.0,-2.469035348826118e-15,0.0,-1.3691674457381775e-08,2.99999999999998,1.3691639611049358e-08,-2.769999999999985
mos2d,0.0,-2.468805549819875e-15,0.0,-1.3713046486863177e-08,2.99999999999998,1.3713017332491296e-08,-2.759999999999985
mos2d,0.0,-2.468578867428001e-15,0.0,-1.3734615038742923e-08,2.99999999999998,1.3734584231361994e-08,-2.7499999999999853
mos2d,0.0,-2.4683422951630376e-15,0.0,-1.3756380917368366e-08,2.99999999999998,1.3756353970282421e-08,-2.7399999999999856
mos2d,0.0,-2.468105426041143e-15,0.0,-1.3778348389055978e-08,2.99999999999998,1.3778319984816885e-08,-2.7299999999999858
mos2d,0.0,-2.4678483926684e-15,0.0,-1.3800520923864392e-08,2.99999999999998,1.3800486260214569e-08,-2.719999999999986
mos2d,0.0,-2.467686743654599e-15,0.0,-1.3822903446811415e-08,2.99999999999998,1.3822879322613929e-08,-2.709999999999986
mos2d,0.0,-2.4674264587920668e-15,0.0,-1.3845495373181306e-08,2.99999999999998,1.3845467168403222e-08,-2.6999999999999864
mos2d,0.0,-2.4672024976050213e-15,0.0,-1.3868306375285786e-08,2.99999999999998,1.3868281841376821e-08,-2.6899999999999866
mos2d,0.0,-2.4669691899324124e-15,0.0,-1.3891335709503729e-08,2.99999999999998,1.3891311844062384e-08,-2.679999999999987
mos2d,0.0,-2.4667368376416073e-15,0.0,-1.3914591308021086e-08,2.99999999999998,1.3914564792084768e-08,-2.669999999999987
mos2d,0.0,-2.4665253660210683e-15,0.0,-1.3938075266560166e-08,2.99999999999998,1.3938043631195748e-08,-2.6599999999999873
mos2d,0.0,-2.466232309466527e-15,0.0,-1.3961792189385505e-08,2.99999999999998,1.3961762200569596e-08,-2.6499999999999875
mos2d,0.0,-2.4660238874381398e-15,0.0,-1.3985745852143756e-08,2.99999999999998,1.3985710010227798e-08,-2.6399999999999877
